ax,ay,az,gx,gy,gz
0.389648,-0.347900,0.687012,-103.221375,-0.732824,26.442749
0.336182,-0.398438,0.686768,-117.786263,11.358779,29.664122
0.297119,-0.375977,0.681152,-142.366409,10.564885,35.236641
0.294678,-0.474609,0.669434,-164.610687,11.404580,39.404579
0.447021,-0.697754,0.763672,-188.106873,19.389313,34.610687
0.490967,-0.901855,0.885010,-201.480911,25.679390,25.450382
0.508057,-1.173096,1.134277,-191.358780,30.839695,8.213740
0.484863,-1.325928,1.281006,-166.244278,42.045803,-2.458015
0.377930,-1.470703,1.538818,-114.305344,49.740459,7.206107
0.377686,-1.652100,1.836914,-42.244274,53.251907,33.725189
0.449219,-1.735840,1.874023,31.221375,74.717560,38.900764
0.468506,-1.750732,1.760498,96.961830,80.152672,44.015266
0.379150,-1.738281,1.630127,140.900757,82.274811,38.167938
0.318604,-1.635986,1.552979,163.587784,63.007633,24.534351
0.216797,-1.558350,1.520996,174.473282,30.824427,-1.709924
0.213867,-1.531006,1.447266,195.267181,2.213740,-20.549618
0.247070,-1.503418,1.373535,222.198471,-12.687023,-30.595419
0.248047,-1.469971,1.314697,260.381683,-12.335877,-31.236641
0.301025,-1.405029,1.178955,305.465637,-5.587786,-21.129770
0.345947,-1.339111,1.056885,345.099243,-0.687023,-17.328245
0.411377,-1.299805,0.883301,373.160309,17.740458,-29.893129
0.328125,-1.192139,0.806396,385.572510,19.099237,-32.610687
0.217285,-1.100342,0.750488,392.519073,2.488550,-43.175571
0.126953,-0.962158,0.637939,391.923676,-24.671755,-50.061069
0.122314,-0.868164,0.467041,385.847321,-40.076336,-60.381680
0.078369,-0.644287,0.354492,369.312988,-50.610687,-60.793892
0.056641,-0.536377,0.261230,364.916016,-49.190838,-60.977100
0.024414,-0.476074,0.270020,373.664124,-52.763359,-61.221375
0.139404,-0.478027,0.095947,385.419861,-49.251907,-65.480919
0.131348,-0.364502,0.160156,382.427490,-57.358780,-71.099236
0.152344,-0.282959,0.056396,387.374054,-46.854961,-71.832062
0.177490,-0.159180,-0.043945,380.152679,-31.221375,-73.893127
0.141846,-0.032227,-0.129883,362.763367,-34.167938,-79.786263
0.176758,0.106201,-0.282471,341.740448,-16.458015,-83.648857
0.094482,0.180420,-0.207764,323.343506,-1.984733,-90.015266
0.067383,0.248535,-0.214111,301.832062,3.603053,-97.312981
0.009277,0.274902,-0.191650,291.282440,2.137405,-106.641220
-0.086914,0.340332,-0.177002,282.152679,-2.259542,-113.236641
-0.104248,0.366699,-0.235596,274.000000,0.091603,-119.511452
-0.044434,0.388916,-0.351562,273.938934,13.664123,-127.572517
-0.101318,0.515869,-0.408447,266.854950,19.053434,-124.931297
-0.154053,0.633789,-0.493896,256.763367,32.000000,-121.267174
-0.202881,0.742188,-0.556885,242.122131,45.221375,-118.732826
-0.249756,0.858154,-0.628662,221.450378,47.083969,-114.320610
-0.350342,0.941162,-0.687012,193.099243,41.480915,-111.419846
-0.386963,1.012695,-0.738281,161.908401,36.122139,-106.076332
-0.421387,1.105225,-0.755371,136.091599,21.389313,-97.832062
-0.513428,1.117432,-0.731201,113.572517,21.893129,-87.679390
-0.556885,1.170898,-0.687500,91.664124,16.870230,-72.931297
-0.603516,1.218018,-0.667236,67.251907,7.587786,-57.893131
-0.627686,1.233643,-0.656738,38.992367,-3.328244,-43.175571
-0.623779,1.247314,-0.630371,7.541985,-8.793893,-35.648853
-0.715332,1.176758,-0.592285,-14.656488,-30.442749,-25.099237
-0.626221,1.229492,-0.645020,-41.328243,-36.290077,-8.274809
-0.564697,1.211182,-0.626709,-67.236641,-43.038166,6.763359
