ax,ay,az,gx,gy,gz
0.589600,-0.430908,0.442871,-55.206108,-16.213741,19.114504
0.589600,-0.415283,0.416016,-59.389313,-16.503817,20.198473
0.577637,-0.414307,0.397705,-69.389313,-14.961832,24.778625
0.561523,-0.421875,0.351318,-78.778625,-12.137404,33.206108
0.575928,-0.468018,0.315186,-89.587784,-4.656488,47.297710
0.707764,-0.613770,0.339844,-98.137405,17.740458,62.045803
0.758545,-0.800293,0.448242,-102.305344,37.786259,69.221375
0.840820,-1.014160,0.594482,-101.954201,49.664124,63.801525
0.870117,-1.156006,0.719727,-97.251907,46.534351,40.595421
0.804932,-1.230957,0.798828,-100.290077,16.519083,1.190840
0.784180,-1.290527,0.859619,-101.969467,-23.847328,-35.328243
0.872070,-1.317871,0.815430,-99.816795,-36.106869,-54.519085
0.858398,-1.372314,0.869629,-92.427483,-22.351145,-52.992367
0.943359,-1.489746,0.944336,-73.022903,14.595420,-30.091602
0.935059,-1.664795,1.154785,-41.053436,69.541985,-1.832061
0.797363,-1.807129,1.355957,-6.351145,97.297707,27.526718
0.785156,-1.936279,1.512939,29.267176,102.122139,46.610687
0.919189,-2.064697,1.582764,65.221375,92.427483,52.702290
1.090820,-2.213867,1.616211,100.198471,83.389313,47.770992
1.149902,-2.360840,1.677002,139.984726,76.030533,36.274811
1.310791,-2.449463,1.742676,183.206100,77.923668,29.603054
1.302246,-2.483154,1.764648,233.832062,111.160309,18.885496
1.135254,-2.423828,1.671631,280.519073,108.305344,10.702291
1.088867,-2.327393,1.477295,327.786255,114.839691,9.038168
1.079346,-2.275879,1.276123,371.603058,115.251907,7.954198
1.104980,-2.259521,1.044922,406.427490,123.496185,5.984733
1.123291,-2.288574,0.909180,443.526703,118.946564,-3.496183
1.144531,-2.324951,0.710205,479.282440,105.969467,-24.091602
1.141846,-2.345459,0.495605,500.259552,103.557251,-48.564884
1.164307,-2.382812,0.213135,500.259552,106.549622,-71.404579
1.012451,-2.377686,-0.044189,500.259552,92.885498,-103.236641
0.855713,-2.345703,-0.299805,500.259552,83.297707,-128.702286
0.698730,-2.324463,-0.590088,500.259552,63.664124,-161.465652
0.524658,-2.254395,-0.874512,500.259552,40.152672,-193.511444
0.194824,-2.089600,-1.163330,500.259552,18.870230,-224.946564
-0.033447,-1.923584,-1.402588,500.259552,-28.290077,-260.748077
-0.142578,-1.645996,-1.684814,500.259552,-58.839695,-289.053436
-0.184326,-1.441162,-1.831299,500.259552,-63.068703,-298.931305
-0.185059,-1.271240,-2.006104,500.259552,-49.770992,-304.458008
-0.328613,-1.064453,-2.075439,500.259552,-24.198473,-303.221375
-0.470215,-0.719727,-2.229980,500.259552,1.938931,-293.206116
-0.574707,-0.295898,-2.510742,475.694672,35.862595,-275.709930
-0.616699,0.279541,-2.867676,432.671753,76.274811,-246.809158
-0.591064,0.729248,-3.118408,377.679382,137.206100,-217.862595
-0.849365,1.324463,-3.342285,309.725189,173.526718,-196.351151
-0.991455,2.023926,-3.620361,209.053436,200.290070,-175.297714
-1.708252,2.569580,-3.573730,104.671753,186.152664,-133.343506
-1.969238,2.888428,-3.413574,-12.030535,145.312973,-77.374046
-2.042480,2.772217,-3.045898,-120.106873,107.557251,-13.557252
-1.743652,2.310303,-2.635498,-211.145035,72.717560,42.748093
-1.408936,1.773193,-2.238770,-284.503815,49.374046,79.007637
-1.064209,1.224121,-1.854248,-341.053436,34.824429,102.167938
-0.825684,0.700928,-1.468750,-366.061066,33.175571,116.687019
-0.672607,0.330811,-1.167480,-378.061066,34.732826,123.419846
-0.547119,0.074463,-0.918701,-376.030548,42.946564,126.015266
-0.501709,-0.012207,-0.701172,-377.511444,52.061069,122.961830
-0.484863,0.010498,-0.510254,-384.977112,48.625954,114.412216
-0.528809,0.016113,-0.367188,-389.435120,33.709923,105.587784
-0.518555,0.085449,-0.273438,-392.961823,17.022902,100.152672
-0.511963,0.110840,-0.235352,-402.274811,-3.297710,95.755722
-0.483398,0.062988,-0.219238,-414.625946,-33.862595,89.648857
-0.418945,0.020264,-0.198486,-433.847321,-55.496181,84.870232
-0.304199,-0.119141,-0.152588,-445.145050,-83.129768,74.473282
-0.130127,-0.375732,0.017822,-442.870239,-115.465652,58.854961
0.164551,-0.635742,0.278564,-417.068695,-131.053436,44.305344
0.307617,-0.651855,0.366943,-387.709930,-134.106873,34.320610
0.514160,-0.629883,0.305664,-359.832062,-89.694656,36.610687
0.335205,-0.591309,0.352051,-338.076324,-35.450382,43.923664
0.191162,-0.563965,0.409668,-324.885498,-6.000000,58.977100
0.134033,-0.630859,0.431641,-319.740448,22.610687,69.633591
0.098633,-0.770020,0.556396,-320.793884,29.312977,68.274811
0.104980,-0.919434,0.721191,-316.351135,18.595419,51.450382
0.133301,-1.032227,0.934570,-304.916016,-4.396946,21.938931
0.115479,-1.097412,1.152588,-279.404572,-50.091602,-9.557252
0.262695,-1.122070,1.118652,-251.099243,-93.175575,-36.198475
0.283447,-1.084229,1.105225,-227.145035,-104.580154,-50.091602
0.277344,-0.996582,0.957031,-206.870224,-105.343513,-42.885498
0.279541,-0.932861,0.905518,-201.633591,-86.396950,-21.694656
0.209473,-0.973877,0.913330,-194.122131,-66.519081,6.442748
0.254639,-0.978271,0.921387,-184.992371,-55.969467,29.206106
0.342285,-1.077637,1.012451,-180.427475,-44.580154,40.519085
0.392334,-1.178955,1.150146,-167.145035,-41.022900,40.137405
0.595947,-1.340820,1.320557,-141.648849,-38.931297,27.603054
0.594727,-1.342529,1.420166,-112.045799,-64.244278,1.419847
0.582764,-1.230713,1.378906,-73.557251,-56.778625,-26.167938
0.341064,-0.979492,1.153809,-52.671757,-75.694656,-38.854961
0.313721,-0.770020,0.871826,-48.656490,-71.633591,-30.259542
0.246338,-0.646484,0.713379,-54.167938,-48.106869,-2.687023
0.213623,-0.655029,0.748047,-59.145039,-16.977098,33.053436
0.179199,-0.727295,0.860352,-58.641220,6.916030,64.977097
0.192383,-0.829346,0.959717,-53.572517,20.244274,83.129768
0.242676,-0.933594,1.075928,-46.900764,13.770992,80.519081
0.327148,-0.970703,1.093994,-38.717556,-8.030535,59.511452
0.373291,-0.932373,1.040283,-33.465649,-31.709923,30.687023
0.375244,-0.870117,0.969238,-31.053434,-59.480915,1.236641
0.380859,-0.806641,0.895020,-30.015266,-80.503815,-20.778625
0.354980,-0.725098,0.801270,-31.877863,-86.335876,-28.824427
0.325195,-0.667969,0.738525,-35.679390,-79.908394,-21.465649
0.311768,-0.649658,0.724121,-38.351147,-62.900764,-2.351145
0.328125,-0.686279,0.766846,-37.587788,-44.106869,19.847328
