ax,ay,az,gx,gy,gz
-0.145996,0.108398,1.027588,-10.091603,4.564886,-2.916031
-0.160645,0.110352,1.048828,-9.633588,6.000000,-4.702290
-0.165771,0.122314,1.062500,-10.671756,6.167939,-5.832061
-0.176514,0.124756,1.089844,-12.030535,5.496183,-6.274809
-0.183105,0.134766,1.098877,-13.755725,5.725191,-7.083970
-0.191406,0.132812,1.113037,-16.656488,5.419847,-7.099236
-0.198975,0.112793,1.115723,-17.954199,4.763359,-8.213740
-0.205078,0.099854,1.108643,-17.877863,3.832061,-9.251908
-0.210938,0.074219,1.098145,-14.351145,3.251908,-10.610687
-0.204590,0.073242,1.086426,-8.793893,2.748092,-10.977099
-0.185791,0.084473,1.092773,-1.969466,0.809160,-10.961832
-0.168213,0.119629,1.078857,3.877863,-1.358779,-9.206107
-0.140625,0.158447,1.054688,4.625954,-3.297710,-7.450382
-0.127930,0.150146,1.051270,6.717557,-2.824427,-5.267176
-0.113037,0.169678,1.034180,6.625954,-1.419847,-5.725191
-0.112793,0.168457,1.031006,4.259542,0.427481,-5.770992
-0.131348,0.169189,1.054688,2.610687,2.152672,-6.793893
-0.149902,0.164795,1.071289,0.931298,2.870229,-7.389313
-0.169678,0.160400,1.072021,0.763359,2.885496,-7.312977
-0.191162,0.159180,1.080566,0.748092,3.541985,-7.221374
-0.189209,0.153320,1.082031,1.160305,3.984733,-6.732824
-0.200928,0.143555,1.094971,1.572519,4.183206,-6.244275
-0.201660,0.135010,1.087402,1.877863,3.572519,-6.885496
-0.199219,0.149170,1.102295,0.916031,3.496183,-7.068702
-0.183105,0.167725,1.086182,-4.000000,2.793893,-7.938931
-0.190674,0.135498,1.080811,-8.534351,3.938931,-7.816794
-0.192383,0.113525,1.071289,-9.847328,4.717557,-10.274809
-0.178955,0.092041,1.041992,-10.870229,5.007634,-11.816793
-0.175293,0.083496,1.022949,-10.595420,5.770992,-14.656488
-0.178955,0.060791,1.025879,-10.152672,7.251908,-16.641222
-0.190186,0.023682,1.009277,-7.251908,8.992367,-20.503817
-0.196777,-0.016602,0.988770,-1.435115,9.251908,-27.022902
-0.212646,-0.040527,1.007080,3.435115,8.778625,-37.893131
-0.230957,-0.043701,1.011963,4.809160,12.335877,-62.183205
-0.286865,0.109375,1.099854,0.503817,19.893129,-100.122139
-0.338623,0.618896,1.265137,-14.702291,21.480917,-121.832062
-0.322754,1.279785,1.383789,-47.893131,19.312977,-123.648857
-0.314941,2.070068,1.609131,-73.282440,12.259542,-86.870232
-0.142822,3.072510,1.877197,-103.358780,-8.656488,9.343512
-0.111084,3.801514,1.893799,-131.664124,-93.419846,188.274811
-0.299316,3.999878,1.916260,-143.053436,-132.625961,336.839691
-0.575684,3.999878,1.846436,-152.717560,-164.717560,476.793884
-0.872314,3.955811,1.477539,-191.984726,-181.465652,500.259552
-1.180664,2.854736,0.974365,-224.519089,-165.801529,500.259552
-1.174072,2.175293,0.648193,-271.725189,-135.938934,500.259552
-1.094482,1.862305,0.286377,-335.267181,-106.320610,500.259552
-1.211182,1.572510,-0.002930,-390.732819,-67.664124,500.259552
-1.491699,1.241943,-0.139648,-434.549622,-24.793894,500.259552
-1.747314,0.997803,-0.253906,-461.938934,-3.770992,500.259552
-1.976074,0.545410,-0.220947,-457.083984,-5.755725,500.259552
-2.226318,-0.199707,-0.237549,-412.473297,-22.564886,500.259552
-2.345703,-0.850342,-0.127930,-344.961823,-38.946564,500.259552
-2.328125,-1.185547,-0.033203,-275.816803,-60.000000,489.633575
-2.287598,-1.481445,0.027100,-230.091599,-67.267174,439.374054
-2.182861,-1.778564,-0.063477,-189.801529,-63.267174,377.954193
-2.115479,-1.974365,-0.041016,-173.099243,-63.755726,318.335876
-2.101318,-2.153320,-0.066895,-154.717560,-62.916031,243.770996
-2.087891,-2.124268,0.011719,-133.618317,-69.358780,178.442749
-2.050537,-2.199463,0.045166,-105.862595,-88.824425,129.816788
-1.906250,-2.304443,-0.037842,-54.809162,-103.114502,81.755722
-1.712646,-2.246094,-0.130127,-8.977099,-103.954201,30.595419
-1.498779,-2.037842,-0.192627,20.458015,-94.824425,-17.343512
-1.240234,-1.863525,-0.203857,41.450382,-78.717560,-63.343510
-0.991455,-1.767578,-0.239258,59.908398,-60.977100,-104.427483
-0.781006,-1.711426,-0.297607,86.763359,-42.290077,-141.450378
-0.642822,-1.528076,-0.311768,115.908394,-14.854961,-173.938934
-0.573730,-1.333496,-0.243896,132.183212,15.419847,-203.480911
-0.555664,-1.093262,-0.221680,143.267181,45.786259,-229.694656
-0.557617,-0.866455,0.014404,137.190842,74.488548,-252.977097
-0.579590,-0.679688,0.181152,125.984734,103.740456,-260.351135
-0.563232,-0.522461,0.368164,115.221375,116.885498,-269.709930
-0.558105,-0.465332,0.549561,105.190842,127.954201,-266.656494
-0.576904,-0.510986,0.638916,105.664124,128.977097,-258.335876
-0.603516,-0.554688,0.695557,120.396950,126.366409,-253.541992
-0.606201,-0.504150,0.726562,136.015274,119.587784,-247.175568
-0.600830,-0.489502,0.715332,147.923660,112.045799,-242.274811
-0.611572,-0.449707,0.706299,151.908401,107.969467,-237.068695
-0.512451,-0.465088,0.719238,154.564880,103.175575,-231.145035
-0.446533,-0.551514,0.749512,162.290070,98.259544,-230.610687
-0.460938,-0.592285,0.804688,175.145035,94.488548,-239.832062
-0.501221,-0.474609,0.838135,192.061066,90.534348,-250.229004
-0.533936,-0.204590,0.907715,199.541992,80.977097,-254.000000
-0.502441,0.116211,0.889160,194.488556,69.068703,-246.427475
-0.407227,0.321045,0.827881,185.832062,57.633587,-219.526718
-0.348145,0.430420,0.747803,168.839691,58.809162,-194.320618
-0.330322,0.318115,0.726074,144.412216,71.679390,-173.648849
-0.371094,0.104004,0.817871,130.793900,83.633591,-168.305344
-0.468018,-0.157959,0.956543,136.076340,88.152672,-171.954193
-0.595947,-0.277344,1.059570,160.381683,83.496185,-184.183212
-0.765137,-0.152588,1.198975,191.832062,73.679390,-196.732819
-0.836426,0.221680,1.376221,212.473282,60.076336,-196.290070
-0.841553,0.612061,1.515869,208.580154,42.671757,-183.847336
-0.722656,0.965576,1.543213,189.496185,20.305344,-157.862595
-0.559570,1.078857,1.488281,151.847336,-2.320611,-122.961830
