ax,ay,az,gx,gy,gz
-0.244385,0.093506,1.044678,9.847328,-4.503817,-6.259542
-0.246582,0.096191,1.067627,10.641221,-4.900764,-7.175572
-0.237061,0.122803,1.042480,11.908397,-4.992366,-9.725191
-0.234131,0.144775,1.053955,11.740458,-4.137404,-13.496183
-0.243164,0.181396,1.050781,9.175572,-3.267176,-14.778625
-0.236084,0.216797,1.068604,4.610687,-2.000000,-14.687023
-0.229248,0.227783,1.069824,1.114504,-2.137405,-11.450381
-0.211914,0.212646,1.064697,0.183206,-0.885496,-8.076336
-0.218262,0.199951,1.048340,-3.511450,-0.488550,-3.053435
-0.231201,0.151123,1.044678,-6.137404,1.679389,-1.618321
-0.245117,0.140625,1.047363,-10.916031,4.381680,-4.702290
-0.255371,0.116943,1.030029,-17.679390,8.534351,-8.564885
-0.247559,0.079346,1.037109,-23.954199,13.908397,-14.671756
-0.253174,0.065430,1.019775,-30.503817,17.328245,-19.801527
-0.273926,-0.005371,1.031494,-35.190838,18.458015,-24.916031
-0.298828,-0.064941,1.060303,-30.213741,16.549618,-31.740458
-0.310303,-0.056152,1.070312,-20.870230,13.007633,-34.641220
-0.302734,-0.002441,1.089355,-12.335877,7.297710,-35.068703
-0.290527,0.036377,1.079590,-3.312977,2.091603,-31.328245
-0.292725,0.081299,1.074707,4.503817,-0.473282,-28.244274
-0.267334,0.111328,1.066406,10.412213,-2.885496,-23.786259
-0.267334,0.129883,1.057373,12.366412,-3.068702,-21.312977
-0.276611,0.104492,1.065186,13.236641,-3.572519,-19.770992
-0.282715,0.057373,1.080811,16.290077,-4.030534,-21.969465
-0.298584,0.010254,1.056885,20.809160,-4.381680,-27.312977
-0.293213,-0.012207,1.043945,26.549618,-3.297710,-36.473282
-0.278809,0.004639,1.052734,32.137405,-1.847328,-45.709923
-0.271240,-0.015625,0.983398,36.183205,5.816794,-62.213741
-0.275146,0.006104,0.974365,40.015266,14.244275,-78.809158
-0.262939,-0.009521,0.981934,40.061069,18.671755,-90.290077
-0.278564,-0.082275,0.945068,42.183205,22.045801,-109.282440
-0.306641,-0.200439,0.928711,57.038166,21.068703,-135.969467
