ax,ay,az,gx,gy,gz
0.989502,0.082031,0.221436,-32.900764,2.458015,20.366413
1.015869,0.036865,0.239990,-31.954199,5.068702,21.038168
1.062744,-0.006348,0.290527,-31.496183,3.374046,16.778625
1.061279,-0.046143,0.337646,-27.969465,-0.274809,11.053435
1.062012,-0.051758,0.348145,-24.396946,-1.389313,6.931298
1.035156,-0.039307,0.336914,-22.045801,-3.114504,3.297710
1.030762,-0.033203,0.319336,-23.129770,-4.519084,2.076336
1.026367,-0.038086,0.341553,-23.190840,1.145038,4.091603
1.075928,-0.089111,0.418945,-21.526718,9.312977,6.183206
1.096924,-0.142822,0.503906,-16.381680,16.000000,5.175572
1.112549,-0.167969,0.568115,-10.091603,11.954199,-2.167939
1.088135,-0.225342,0.681641,-1.328244,11.328244,-8.732824
1.090576,-0.267334,0.750732,11.083969,-1.114504,-21.633587
1.047119,-0.308838,0.809326,31.541985,-11.389313,-33.648853
1.016602,-0.304688,0.827881,52.839695,-3.618321,-35.908398
0.897705,-0.320557,0.864746,77.633591,-5.557252,-37.480915
0.849121,-0.267822,0.860352,92.320610,-12.961832,-38.748093
0.808594,-0.181641,0.680664,102.030533,-19.145039,-32.305344
0.793457,-0.151367,0.634521,110.106873,-22.061069,-24.625954
0.823242,-0.183105,0.682373,123.770996,-27.496183,-22.320610
0.830078,-0.187256,0.659912,132.793900,-34.809162,-22.152672
0.882324,-0.179443,0.680176,146.122131,-39.404579,-20.061069
0.870117,-0.210938,0.732910,150.381683,-48.030533,-24.549618
0.893799,-0.216797,0.614746,156.198471,-76.625954,-35.511452
0.897217,-0.174561,0.497070,155.175568,-93.145035,-42.335876
0.904053,-0.189697,0.470459,160.625961,-97.877861,-40.335876
0.904785,-0.186035,0.426758,166.732819,-109.236641,-43.022900
0.950684,-0.172363,0.367432,175.526718,-109.160309,-41.083969
1.040771,-0.164795,0.259521,182.290070,-96.824425,-36.641220
1.177979,-0.188965,0.192139,190.961838,-62.656490,-25.480917
1.318359,-0.206055,0.102783,203.725189,-21.206106,-17.541985
1.394043,-0.225586,0.033447,221.312973,14.213740,-19.083969
1.360352,-0.211914,0.026611,237.786255,28.778625,-31.404581
1.232178,-0.116699,-0.078125,232.641220,23.282442,-47.908398
1.090088,-0.017578,-0.149902,220.732819,11.801527,-56.244274
0.987305,0.025391,-0.166016,208.519089,-4.335878,-60.503819
0.957275,0.009033,-0.129883,202.030533,-7.053435,-54.488548
0.921875,-0.035156,-0.099365,202.381683,-10.885496,-48.961834
0.979980,-0.085693,-0.087891,208.213745,-13.709924,-46.854961
1.008301,-0.128174,-0.073486,218.396942,-13.664123,-47.938931
1.033447,-0.111084,-0.115234,226.977097,-16.458015,-52.137405
1.010742,-0.066895,-0.213135,232.702286,-15.419847,-52.916031
0.955322,-0.065430,-0.248535,238.000000,-22.351145,-55.908398
0.955078,-0.060791,-0.285400,243.007629,-22.748091,-55.236641
0.919922,-0.050781,-0.385498,243.847336,-19.358778,-50.503819
0.914551,0.002930,-0.470703,240.717560,-18.259542,-46.183205
0.956787,-0.003906,-0.510742,233.374039,-3.740458,-34.900764
0.941650,-0.066650,-0.394287,228.717560,6.381680,-25.190840
0.951904,-0.180664,-0.375732,239.679382,-11.832061,-34.274811
1.005615,-0.210205,-0.364990,245.129776,-21.480917,-44.335876
1.016846,-0.243652,-0.405273,253.312973,-21.679390,-50.610687
0.962891,-0.232422,-0.500732,255.557251,-33.847328,-64.106873
0.881104,-0.141602,-0.740479,240.045807,-42.885498,-73.633591
0.827881,-0.034668,-0.961182,221.221375,-38.396946,-73.633591
0.750732,-0.020508,-1.064941,202.641220,-35.954197,-75.435112
0.679199,0.063232,-1.176025,196.580154,-38.061069,-78.000000
0.582764,0.034668,-1.352539,194.045807,-48.244274,-85.435112
0.700928,0.091064,-1.256104,204.274811,-31.908398,-81.450378
0.744629,0.157715,-1.368652,201.755722,-19.251909,-78.702293
0.770020,0.153564,-1.334961,188.687027,-13.053435,-83.526718
0.767822,0.190674,-1.334961,179.633591,-3.877863,-86.519081
0.691650,0.250732,-1.380615,161.633591,0.320611,-87.908394
0.648193,0.321289,-1.417969,134.503815,-0.091603,-87.343513
0.636719,0.329590,-1.406006,113.267174,6.015267,-82.671753
0.606689,0.320557,-1.359863,95.969467,5.572519,-80.534348
