ax,ay,az,gx,gy,gz
-0.149658,0.049316,1.063232,2.580153,0.564885,-2.442748
-0.145996,0.062988,1.063477,1.511450,1.374046,-3.099237
-0.157715,0.081299,1.068604,-2.244275,2.259542,-3.068702
-0.170410,0.069580,1.090576,-5.297710,2.748092,-2.229008
-0.175537,0.055420,1.079102,-6.412214,2.977099,-1.603053
-0.176758,0.035645,1.084229,-5.022901,3.496183,-1.511450
-0.187256,0.041992,1.107666,-4.213740,3.206107,-1.267176
-0.185791,0.035156,1.106689,-4.366412,2.793893,-0.641221
-0.187500,0.029297,1.116943,-3.648855,2.854962,-1.083969
-0.190430,0.029541,1.111328,-3.847328,2.931298,-1.755725
-0.198975,0.016846,1.103027,-4.381680,3.129771,-2.824427
-0.188965,-0.000977,1.093018,-4.427481,2.534351,-4.152672
-0.183350,-0.013672,1.065186,-2.839695,2.793893,-5.740458
-0.184082,-0.025879,1.064453,0.000000,1.526718,-7.862596
-0.186523,-0.023926,1.055176,3.587786,4.030534,-11.297709
-0.170166,-0.001709,1.055908,6.152672,5.450382,-15.099236
-0.163086,0.018066,1.057129,4.122138,6.977099,-20.427481
-0.161865,0.015625,1.067383,-1.770992,9.374045,-28.549618
-0.159668,0.003906,1.050049,-8.656488,12.580153,-40.595421
-0.151611,-0.023926,1.016846,-11.847328,16.900763,-59.572517
-0.179199,-0.035889,0.980469,-8.244275,21.877863,-88.396950
-0.261963,0.094238,1.056641,4.595420,24.977098,-122.671753
-0.310303,0.373291,1.112793,15.847328,24.152672,-145.404587
-0.340332,0.687256,1.141846,26.000000,16.992367,-149.832062
-0.399414,1.044678,1.227783,35.267174,11.297709,-129.038162
-0.493408,1.581055,1.431641,38.778625,-1.893130,-97.129768
-0.364502,2.094971,1.483398,10.320611,-18.916031,-52.931297
-0.338867,2.343750,1.411377,-17.435114,-27.801527,22.244274
-0.352539,2.535889,1.405029,-48.076336,-31.557251,92.213737
-0.323242,2.554688,1.123535,-83.358780,-28.961832,160.702286
-0.405029,2.375488,1.089355,-110.015266,-35.862595,225.007629
-0.486084,2.187500,0.966064,-134.183212,-37.938931,290.412201
-0.612549,2.363037,0.982178,-165.984726,-38.137405,366.076324
-0.840820,2.711426,1.017822,-221.969467,-45.358780,445.969452
-1.193359,2.966064,1.053467,-289.603058,-61.236641,500.259552
-1.618408,2.513672,0.721191,-369.312988,-65.175575,500.259552
-1.962158,1.835205,0.467773,-409.007629,-63.694656,500.259552
-2.221191,1.137207,0.311035,-427.816803,-50.244274,500.259552
-2.289307,0.431885,0.219238,-421.221375,-48.152672,500.259552
-2.431885,-0.189941,0.165527,-396.961823,-72.717560,500.259552
-2.479492,-0.623291,0.109863,-353.984741,-89.847328,500.259552
-2.454102,-0.877686,0.061279,-303.572510,-104.748093,500.259552
-2.426270,-1.162598,-0.016113,-272.961823,-114.396950,477.923676
-2.313965,-1.417236,-0.210938,-239.923660,-116.809158,430.870239
-2.201660,-1.607666,-0.247314,-212.839691,-106.549622,379.694672
-2.111328,-1.866211,-0.232910,-196.152664,-96.152672,313.770996
-2.034912,-2.125244,-0.195068,-176.977097,-89.541985,241.816788
-1.845703,-2.380859,-0.165039,-152.351151,-91.267174,168.763351
-1.729492,-2.470703,-0.155029,-115.801529,-96.229004,93.770996
-1.536133,-2.547607,0.032959,-81.007637,-93.099236,36.931297
-1.345459,-2.524902,0.078613,-32.061069,-94.030533,-11.145039
-1.069580,-2.291992,0.064941,17.755726,-79.206108,-45.572517
-0.899658,-2.048584,0.032471,58.916031,-61.618320,-77.160309
-0.811035,-1.772461,0.059326,81.801529,-47.664124,-110.595421
-0.671143,-1.463135,0.090088,88.137405,-27.083969,-138.580154
-0.602539,-1.193848,0.144043,85.862595,-7.175572,-154.641220
-0.574951,-1.002197,0.245850,78.595421,10.045801,-166.366409
-0.565430,-0.908203,0.340576,74.854965,21.496183,-174.473282
-0.523438,-0.809570,0.448975,79.160309,32.244274,-186.305344
-0.435303,-0.830566,0.568359,92.595421,34.076336,-186.244278
-0.374512,-0.792969,0.662109,107.801529,32.320610,-195.358780
-0.352783,-0.719482,0.775391,126.824425,24.641222,-201.618317
-0.338379,-0.599365,0.821289,141.083969,15.007633,-208.366409
-0.275635,-0.443359,0.826172,147.526718,10.809160,-211.511444
-0.242432,-0.284424,0.793457,142.977097,14.564885,-213.954193
-0.237793,-0.083984,0.778320,121.648857,22.839695,-209.709930
-0.186279,0.083740,0.796143,90.503815,32.290077,-194.854965
-0.107666,0.145020,0.838867,57.236641,39.343510,-172.305344
-0.071289,0.086670,0.853271,29.618320,43.770992,-152.931305
-0.021240,-0.113525,0.889648,25.236641,41.419846,-133.938934
-0.004639,-0.254883,0.941895,44.015266,38.488548,-122.259544
-0.031738,-0.284912,1.016357,66.503815,32.000000,-112.977097
-0.053955,-0.275391,1.090332,83.740456,29.099237,-105.786263
-0.114502,-0.197510,1.048584,89.587784,23.648855,-100.809158
-0.122559,-0.101318,0.997314,81.374046,29.847328,-93.175575
-0.117188,-0.088379,0.987305,56.702290,37.786259,-92.045799
-0.061035,-0.290527,1.041260,37.236641,45.145039,-95.053436
-0.105225,-0.434082,1.095703,32.106869,49.877861,-110.274811
-0.120361,-0.442871,1.103760,43.221375,44.961834,-126.595421
-0.138672,-0.362061,1.109619,53.786259,44.122139,-137.938934
-0.180176,-0.302734,1.098145,66.030533,41.083969,-146.229004
-0.186035,-0.170410,1.007568,75.099236,40.167938,-144.671753
-0.195557,-0.058105,0.954834,76.183205,45.770992,-144.167938
-0.207764,0.070557,0.930176,60.091602,52.076336,-135.603058
-0.231689,0.094971,0.937988,31.770992,57.267174,-124.824425
-0.218262,-0.076416,0.969238,11.694656,59.832062,-118.305344
-0.227295,-0.297607,1.000244,13.083969,60.824429,-117.816795
-0.272705,-0.446777,1.065186,35.694656,59.786259,-122.977097
-0.333252,-0.463379,1.125000,70.274811,52.977100,-130.152664
-0.392090,-0.368652,1.174316,99.755722,47.221375,-137.862595
-0.477051,-0.208740,1.239746,124.992363,38.244274,-138.916031
-0.498535,0.081299,1.293945,128.106873,34.809162,-136.427475
-0.499268,0.336914,1.362549,112.076332,25.587786,-125.541985
