ax,ay,az,gx,gy,gz
1.066650,-0.115967,-0.087402,-31.587786,-2.061069,44.458015
1.069336,-0.171143,-0.086426,-34.229008,0.854962,48.977100
1.087402,-0.257324,-0.017334,-32.671757,6.458015,56.656490
1.139648,-0.366943,0.000488,-28.000000,14.458015,66.946564
1.355469,-0.556885,-0.033203,-33.374046,37.206108,73.374046
1.600342,-0.835938,0.293457,-41.312977,44.366413,62.916031
1.856445,-1.095459,0.330811,-45.251907,31.954199,21.053434
1.886719,-1.209229,0.389404,-36.763359,49.740459,-10.931297
1.848145,-1.362549,0.512939,-22.854961,43.877861,-44.458015
1.825439,-1.497070,0.616211,4.244275,29.068703,-77.358780
1.878662,-1.570557,0.629883,34.854961,24.458015,-106.702293
1.863037,-1.625732,0.632568,70.000000,22.061069,-136.671753
1.878174,-1.656006,0.565674,108.412216,24.793894,-162.320618
1.860352,-1.695801,0.520508,142.412216,36.198475,-189.969467
1.761719,-1.690430,0.438232,183.450378,25.770992,-217.022903
1.695312,-1.618408,0.250244,200.076340,19.648855,-245.893127
1.559082,-1.600830,0.154785,210.900757,18.854961,-275.007629
1.470703,-1.603027,0.091797,216.854965,31.236641,-295.450378
1.370361,-1.622559,0.043457,231.435120,39.160305,-318.732819
1.299316,-1.682129,-0.014160,248.961838,59.099236,-338.503815
1.177246,-1.778809,0.030518,276.320618,70.442749,-364.671753
0.954590,-1.935547,0.100098,324.213745,58.442749,-396.610687
0.766357,-1.980713,-0.065430,366.519073,33.251907,-435.160309
0.542969,-1.906250,-0.372803,391.465637,6.748092,-480.351135
0.322510,-1.866699,-0.705811,406.412201,-15.343512,-500.274811
0.102051,-1.792480,-1.063965,396.519073,-23.343512,-500.274811
-0.235107,-1.747559,-1.416748,380.473297,-23.190840,-500.274811
-0.719727,-1.645264,-1.609863,384.732819,6.183206,-500.274811
-1.113525,-1.402344,-1.837891,396.076324,40.045803,-500.274811
-1.470215,-1.081055,-2.135254,401.969452,65.618324,-500.274811
-1.751709,-0.768066,-2.390625,389.770996,95.206108,-500.274811
-2.145508,-0.323975,-2.582764,362.702301,116.549622,-483.450378
-2.623291,0.324951,-2.806641,342.992371,128.274811,-401.954193
-2.915771,1.005371,-2.998047,304.488556,134.381683,-297.664124
-3.002441,1.556396,-3.233398,254.152664,156.687027,-193.786255
-2.967773,1.708496,-3.067139,189.496185,143.740463,-100.580154
-2.629150,1.623291,-2.895752,133.374039,113.877861,-33.129772
-2.268799,1.454346,-2.791016,67.450378,73.496185,12.427481
-1.769287,1.226318,-2.565186,12.259542,66.122139,52.488548
-1.400391,1.019531,-2.207031,-40.519085,59.190838,83.358780
