ax,ay,az,gx,gy,gz
0.341064,0.273682,0.746582,-0.396947,0.503817,2.992366
0.351562,0.268555,0.735107,-2.732824,0.671756,5.832061
0.359375,0.243164,0.740723,-5.374046,4.259542,9.603053
0.355225,0.211670,0.784912,-5.236641,6.687023,13.587787
0.374268,0.181396,0.800293,-4.396946,8.335877,15.893129
0.374268,0.171387,0.816162,-3.541985,8.748092,16.610687
0.383301,0.145020,0.841064,-2.137405,8.320611,16.427481
0.400879,0.116455,0.861816,0.015267,7.709924,15.496183
0.427490,0.083252,0.905518,3.343511,8.458015,12.839695
0.406250,0.066162,0.920166,8.458015,6.427481,7.053435
0.385742,0.085449,0.896729,13.374045,0.183206,0.473282
0.377441,0.170410,0.848633,15.709924,-4.885496,-5.358778
0.354492,0.231934,0.814697,16.167938,-7.267176,-10.381680
0.335205,0.307129,0.761475,15.618320,-11.664123,-14.396947
0.326660,0.345947,0.725586,13.725191,-15.725191,-17.129770
0.303955,0.387207,0.703369,12.335877,-19.725191,-17.328245
0.318115,0.422119,0.657959,8.931297,-22.717558,-15.511451
0.333984,0.438721,0.637451,5.664122,-22.992367,-15.572519
0.327637,0.467041,0.608887,4.427481,-26.198473,-18.244274
0.319336,0.535645,0.557861,2.122137,-32.290077,-23.435114
0.316162,0.645508,0.451416,-5.343512,-39.908398,-29.160305
0.289551,0.751465,0.411865,-18.213741,-31.862595,-34.244274
0.274902,0.851318,0.223389,-33.572517,-57.984734,-42.549618
0.304443,0.968262,0.103027,-53.786259,-66.229004,-51.022900
0.302246,1.154297,-0.054443,-78.152672,-75.435112,-57.068703
0.317871,1.378906,-0.317383,-111.862595,-87.587784,-50.137405
0.391846,1.514648,-0.580322,-161.297714,-74.519081,-29.770992
0.427734,1.413818,-0.785889,-206.412216,-51.740459,-3.679389
0.326904,1.211426,-0.721191,-251.572525,-24.244274,25.007633
0.301025,0.940674,-0.693359,-286.549622,-16.183207,48.290077
0.267822,0.674072,-0.704346,-315.312988,-13.572519,58.671757
0.272217,0.526855,-0.730957,-348.534363,-22.732824,61.221375
0.321289,0.256836,-0.763672,-373.297699,-25.175573,54.854961
0.386963,0.049805,-0.839111,-398.351135,-30.839695,44.717556
