ax,ay,az,gx,gy,gz
-0.699463,0.191162,0.790283,-6.671756,0.625954,0.366412
-0.720459,0.189453,0.801758,-8.167939,-1.374046,2.122137
-0.729980,0.177979,0.801758,-12.778625,-3.007634,2.748092
-0.738281,0.146484,0.805908,-17.572519,-3.694656,1.374046
-0.742676,0.092773,0.791260,-20.259542,-4.167939,-1.496183
-0.727295,0.052979,0.761963,-19.755726,-3.022901,-3.206107
-0.709717,0.016846,0.758057,-17.893129,-2.244275,-4.931298
-0.667725,-0.005371,0.721680,-13.618320,-0.961832,-6.259542
-0.643799,-0.010986,0.707031,-7.496183,1.603053,-6.000000
-0.613525,0.014893,0.707031,-1.740458,3.389313,-3.557252
-0.638184,0.041016,0.712402,2.076336,5.419847,-2.534351
-0.658447,0.053467,0.736084,2.458015,6.488550,-2.183206
-0.713135,0.065186,0.752930,1.343511,5.770992,-3.541985
-0.757324,0.057617,0.778076,-0.732824,4.564886,-7.114504
-0.756104,0.073975,0.782471,-3.083969,3.664122,-11.954199
-0.739746,0.080322,0.786133,-6.687023,2.045802,-15.190840
-0.696045,0.069092,0.758057,-7.740458,0.977099,-16.412214
-0.644531,0.077148,0.727539,-6.854962,1.419847,-16.290077
-0.621338,0.082275,0.713867,-5.282443,2.687023,-12.381680
-0.628418,0.085693,0.714844,-2.320611,2.580153,-6.702290
-0.613525,0.102783,0.690918,-0.534351,3.374046,-3.725191
-0.580811,0.114502,0.669189,-1.068702,4.351145,-2.320611
-0.561279,0.131836,0.626953,-1.038168,5.114504,-2.427481
-0.384766,0.170410,0.467285,-0.931298,15.328244,-3.282443
-0.182373,0.200928,0.288086,1.068702,34.167938,-2.793893
0.008301,0.229736,0.164795,4.717557,55.847328,-1.297710
0.239014,0.289062,0.021973,7.053435,84.793892,-4.274809
0.655029,0.327881,-0.253906,6.793893,121.923668,-4.122138
1.173096,0.398926,-0.576660,2.427481,181.206100,-15.847328
1.372314,0.416260,-0.677979,-4.351145,235.847336,-13.893129
1.184082,0.370361,-0.803467,-11.190840,280.244263,-16.305344
0.971191,0.246094,-0.676270,-9.816793,308.290070,-28.137405
0.978760,0.017334,-0.890381,-5.664122,334.427490,-36.351147
0.974121,-0.125244,-1.141846,9.450381,374.351135,-39.893131
0.805664,-0.135498,-1.282959,30.152672,405.572510,-30.045801
0.382568,-0.151855,-1.421143,49.465649,434.290070,-11.908397
-0.409180,-0.131592,-1.460693,73.511452,456.213745,13.770992
-1.143799,-0.094727,-1.451416,100.763359,459.404572,53.389313
-1.630859,-0.051758,-1.441162,135.648849,454.106873,91.603050
-2.040039,0.054199,-1.218262,168.717560,422.091614,127.007637
-2.088623,0.370605,-1.119141,190.351151,375.328247,148.992371
-2.075928,0.860596,-1.228760,186.320618,338.702301,174.732819
-2.363281,1.177979,-1.205078,160.106873,324.503815,174.061066
-2.722412,1.307373,-1.024658,118.259544,305.175568,166.320618
-2.894531,1.235107,-0.865479,80.412216,284.320618,154.305344
-2.956787,1.051758,-0.696289,51.343510,248.671753,155.251907
-2.964600,0.857422,-0.550781,26.229008,209.786255,147.954193
-2.868408,0.674316,-0.415771,0.931298,177.312973,124.091606
-2.774414,0.527832,-0.241699,-26.961832,142.045807,89.740456
-2.573242,0.327393,-0.181641,-47.908398,108.442749,44.992367
-2.333496,0.205566,-0.142578,-65.740456,77.541985,7.541985
-2.099609,0.086182,-0.161621,-73.038170,50.961834,-26.854961
-1.854492,0.086914,-0.204102,-69.511452,32.671757,-50.091602
-1.690918,0.162354,-0.247803,-63.374046,17.969465,-50.595421
-1.599365,0.174561,-0.230469,-46.854961,6.030534,-37.099236
-1.531006,0.250488,-0.158447,-25.251909,-17.801527,-10.854961
-1.461670,0.385254,-0.117676,-11.129771,-35.877861,13.541985
-1.440918,0.478760,-0.092773,-4.000000,-50.259541,28.045801
-1.431641,0.558105,-0.037842,-6.610687,-63.251907,31.190840
-1.332520,0.574219,-0.084473,-12.916031,-69.984734,19.007633
-1.244629,0.581299,-0.100830,-20.458015,-72.259544,-1.969466
-1.173340,0.551025,-0.104248,-32.167938,-72.793892,-15.282443
-1.107178,0.501953,-0.154297,-40.122139,-73.633591,-26.610687
-1.006104,0.477295,-0.215332,-45.541985,-70.656487,-33.328243
-0.951660,0.456299,-0.229980,-46.931297,-65.725189,-35.404579
-0.939209,0.453369,-0.210693,-48.656490,-60.244274,-27.969465
-1.013672,0.438721,-0.171875,-48.564884,-62.519085,-17.404581
-1.086426,0.410156,-0.120605,-47.648853,-69.358780,-5.099236
-1.170898,0.392334,-0.085205,-47.832062,-79.877861,4.625954
-1.277100,0.375000,-0.047363,-49.022900,-93.206108,9.740458
-1.362305,0.340576,-0.034912,-51.969467,-105.038170,5.587786
-1.434814,0.313477,-0.037598,-54.458015,-118.717560,-8.396947
-1.419434,0.312988,-0.074463,-57.725189,-130.152664,-26.106871
-1.391113,0.334473,-0.094238,-61.496181,-140.335876,-45.541985
-1.331055,0.368652,-0.163086,-64.488548,-145.083969,-62.427483
-1.286377,0.398926,-0.182861,-66.106873,-145.221375,-74.442749
-1.234131,0.430664,-0.197998,-68.763359,-145.129776,-82.992363
-1.214355,0.464111,-0.181396,-70.793892,-143.389313,-88.213737
-1.184082,0.472656,-0.144775,-74.824425,-144.259537,-86.931297
-1.167725,0.463623,-0.127686,-80.244278,-146.625961,-86.152672
-1.157227,0.442871,-0.128418,-84.931297,-150.106873,-83.480919
-1.190186,0.397217,-0.097656,-86.381676,-160.213745,-77.862595
-1.177979,0.358887,-0.083496,-83.236641,-162.793900,-69.190842
-1.158203,0.314941,-0.071045,-77.847328,-159.862595,-60.931297
-1.142090,0.284668,-0.049316,-71.068703,-164.244278,-53.419846
-1.096680,0.257324,-0.070557,-63.557251,-166.961838,-46.442749
-1.040283,0.249023,-0.082764,-57.160305,-160.824432,-40.091602
-1.009277,0.224365,-0.061035,-52.595421,-151.816788,-35.389313
-1.010010,0.200195,-0.044434,-48.366413,-143.618317,-34.152672
-1.024170,0.147949,-0.027100,-44.305344,-137.740463,-35.297710
-1.074463,0.144043,0.046387,-41.450382,-135.816788,-38.381680
-1.128906,0.159180,0.102295,-40.137405,-137.190842,-41.740459
-1.160645,0.135010,0.180176,-34.992367,-143.801529,-38.015266
-1.144531,0.098389,0.165527,-28.748091,-148.183212,-38.045803
-1.058594,0.126465,0.148438,-22.656488,-147.557251,-39.786259
-0.995361,0.122803,0.172607,-18.702290,-148.671753,-39.893131
-0.889160,0.090088,0.169189,-16.213741,-147.877869,-44.259541
-0.753174,0.056152,0.133545,-14.580153,-143.740463,-44.320610
-0.680176,0.038574,0.110107,-10.610687,-136.320618,-46.442749
-0.613281,0.037109,0.124268,-6.839694,-128.778625,-49.496181
